PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38703678","Graph neural networks-enhanced relation prediction for ecotoxicology (GRAPE)","Anand G, Koniusz P, Kumar A, Golding LA, Morgan MJ, Moghadam P.","J Hazard Mater. 2024 Jul 5;472:134456. doi: 10.1016/j.jhazmat.2024.134456. Epub 2024 Apr 29.","Anand G","J Hazard Mater","2024","2024/05/04","","","10.1016/j.jhazmat.2024.134456"
"33901196","PharmaNet: Pharmaceutical discovery with deep recurrent neural networks","Ruiz Puentes P, Valderrama N, González C, Daza L, Muñoz-Camargo C, Cruz JC, Arbeláez P.","PLoS One. 2021 Apr 26;16(4):e0241728. doi: 10.1371/journal.pone.0241728. eCollection 2021.","Ruiz Puentes P","PLoS One","2021","2021/04/26","PMC8075191","","10.1371/journal.pone.0241728"
"34890148","Improving QSAR Modeling for Predictive Toxicology using Publicly Aggregated Semantic Graph Data and Graph Neural Networks","Romano JD, Hao Y, Moore JH.","Pac Symp Biocomput. 2022;27:187-198.","Romano JD","Pac Symp Biocomput","2022","2021/12/10","PMC8714189","NIHMS1760612",""
"36294053","Pharmacophore Modeling Using Machine Learning for Screening the Blood-Brain Barrier Permeation of Xenobiotics","Kumar S, Deepika D, Kumar V.","Int J Environ Res Public Health. 2022 Oct 18;19(20):13471. doi: 10.3390/ijerph192013471.","Kumar S","Int J Environ Res Public Health","2022","2022/10/27","PMC9602466","","10.3390/ijerph192013471"
"38556993","Graph Convolutional Network-Enhanced Model for Screening Persistent, Mobile, and Toxic and Very Persistent and Very Mobile Substances","Zhao Q, Zheng Y, Qiu Y, Yu Y, Huang M, Wu Y, Chen X, Huang Y, Cui S, Zhuang S.","Environ Sci Technol. 2024 Apr 9;58(14):6149-6157. doi: 10.1021/acs.est.4c01201. Epub 2024 Apr 1.","Zhao Q","Environ Sci Technol","2024","2024/04/01","","","10.1021/acs.est.4c01201"
"38385872","ChemMORT: an automatic ADMET optimization platform using deep learning and multi-objective particle swarm optimization","Yi JC, Yang ZY, Zhao WT, Yang ZJ, Zhang XC, Wu CK, Lu AP, Cao DS.","Brief Bioinform. 2024 Jan 22;25(2):bbae008. doi: 10.1093/bib/bbae008.","Yi JC","Brief Bioinform","2024","2024/02/22","PMC10883642","","10.1093/bib/bbae008"
"37075324","Novel Molecular Representations Using Neumann-Cayley Orthogonal Gated Recurrent Unit","Mucllari E, Zadorozhnyy V, Ye Q, Nguyen DD.","J Chem Inf Model. 2023 May 8;63(9):2656-2666. doi: 10.1021/acs.jcim.2c01526. Epub 2023 Apr 19.","Mucllari E","J Chem Inf Model","2023","2023/04/19","","","10.1021/acs.jcim.2c01526"
"38409701","Drug-target Affinity Prediction by Molecule Secondary Structure Representation Network","Tang Y, Li Y, Li P, Liu ZP.","Curr Med Chem. 2024 Feb 22. doi: 10.2174/0109298673252287240215103035. Online ahead of print.","Tang Y","Curr Med Chem","2024","2024/02/27","","","10.2174/0109298673252287240215103035"
"37670374","LogD7.4 prediction enhanced by transferring knowledge from chromatographic retention time, microscopic pKa and logP","Wang Y, Xiong J, Xiao F, Zhang W, Cheng K, Rao J, Niu B, Tong X, Qu N, Zhang R, Wang D, Chen K, Li X, Zheng M.","J Cheminform. 2023 Sep 5;15(1):76. doi: 10.1186/s13321-023-00754-4.","Wang Y","J Cheminform","2023","2023/09/05","PMC10478446","","10.1186/s13321-023-00754-4"
"36106833","Predicting mosquito repellents for clothing application from molecular fingerprint-based artificial neural network SAR models","Devillers J, Sartor V, Devillers H.","SAR QSAR Environ Res. 2022 Sep;33(9):729-751. doi: 10.1080/1062936X.2022.2124014.","Devillers J","SAR QSAR Environ Res","2022","2022/09/15","","","10.1080/1062936X.2022.2124014"
"33872000","Deep Learning Model for Identifying Critical Structural Motifs in Potential Endocrine Disruptors","Mukherjee A, Su A, Rajan K.","J Chem Inf Model. 2021 May 24;61(5):2187-2197. doi: 10.1021/acs.jcim.0c01409. Epub 2021 Apr 19.","Mukherjee A","J Chem Inf Model","2021","2021/04/19","","","10.1021/acs.jcim.0c01409"
"37121739","Development of a GCN-based model to predict in vitro phototoxicity from the chemical structure and HOMO-LUMO gap","Igarashi Y, Re S, Kojima R, Okuno Y, Yamada H.","J Toxicol Sci. 2023;48(5):243-249. doi: 10.2131/jts.48.243.","Igarashi Y","J Toxicol Sci","2023","2023/04/30","","","10.2131/jts.48.243"
"38867901","mibPOPdb: An online database for microbial biodegradation of persistent organic pollutants","Ngara TR, Zeng P, Zhang H.","Imeta. 2022 Aug 17;1(4):e45. doi: 10.1002/imt2.45. eCollection 2022 Dec.","Ngara TR","Imeta","2022","2024/06/13","PMC10989864","","10.1002/imt2.45"
"38438914","Predicting Cardiotoxicity of Molecules Using Attention-Based Graph Neural Networks","Vinh T, Nguyen L, Trinh QH, Nguyen-Vo TH, Nguyen BP.","J Chem Inf Model. 2024 Mar 25;64(6):1816-1827. doi: 10.1021/acs.jcim.3c01286. Epub 2024 Mar 4.","Vinh T","J Chem Inf Model","2024","2024/03/04","","","10.1021/acs.jcim.3c01286"
"36556480","Defining the Potential Targets for Biological Activity of Isoegomaketone Based on Network Pharmacology and Molecular Docking Methods","Zhang J, Wang R, Qin Y, Feng C.","Life (Basel). 2022 Dec 15;12(12):2115. doi: 10.3390/life12122115.","Zhang J","Life (Basel)","2022","2022/12/23","PMC9788221","","10.3390/life12122115"
"38216614","MedGAN: optimized generative adversarial network with graph convolutional networks for novel molecule design","Macedo B, Ribeiro Vaz I, Taveira Gomes T.","Sci Rep. 2024 Jan 12;14(1):1212. doi: 10.1038/s41598-023-50834-6.","Macedo B","Sci Rep","2024","2024/01/12","PMC10786821","","10.1038/s41598-023-50834-6"
"34772471","DrugEx v2: de novo design of drug molecules by Pareto-based multi-objective reinforcement learning in polypharmacology","Liu X, Ye K, van Vlijmen HWT, Emmerich MTM, IJzerman AP, van Westen GJP.","J Cheminform. 2021 Nov 12;13(1):85. doi: 10.1186/s13321-021-00561-9.","Liu X","J Cheminform","2021","2021/11/13","PMC8588612","","10.1186/s13321-021-00561-9"
"38286298","Prediction of molecular-specific mutagenic alerts and related mechanisms of chemicals by a convolutional neural network (CNN) model based on SMILES split","Chen C, Huang Z, Zou X, Li S, Zhang D, Wang SL.","Sci Total Environ. 2024 Mar 20;917:170435. doi: 10.1016/j.scitotenv.2024.170435. Epub 2024 Jan 28.","Chen C","Sci Total Environ","2024","2024/01/29","","","10.1016/j.scitotenv.2024.170435"
"39063220","Computational Insights into Reproductive Toxicity: Clustering, Mechanism Analysis, and Predictive Models","Cui H, He Q, Li W, Duan Y, Han W.","Int J Mol Sci. 2024 Jul 22;25(14):7978. doi: 10.3390/ijms25147978.","Cui H","Int J Mol Sci","2024","2024/07/27","PMC11277225","","10.3390/ijms25147978"
"31661253","Using Machine Learning to Classify Bioactivity for 3486 Per- and Polyfluoroalkyl Substances (PFASs) from the OECD List","Cheng W, Ng CA.","Environ Sci Technol. 2019 Dec 3;53(23):13970-13980. doi: 10.1021/acs.est.9b04833. Epub 2019 Nov 19.","Cheng W","Environ Sci Technol","2019","2019/10/30","","","10.1021/acs.est.9b04833"
"38967119","GraphADT: empowering interpretable predictions of acute dermal toxicity with multi-view graph pooling and structure remapping","Ma X, Fu X, Wang T, Zhuo L, Zou Q.","Bioinformatics. 2024 Jul 1;40(7):btae438. doi: 10.1093/bioinformatics/btae438.","Ma X","Bioinformatics","2024","2024/07/05","PMC11245318","","10.1093/bioinformatics/btae438"
"38543168","Absorption Distribution Metabolism Excretion and Toxicity Property Prediction Utilizing a Pre-Trained Natural Language Processing Model and Its Applications in Early-Stage Drug Development","Jung W, Goo S, Hwang T, Lee H, Kim YK, Chae JW, Yun HY, Jung S.","Pharmaceuticals (Basel). 2024 Mar 17;17(3):382. doi: 10.3390/ph17030382.","Jung W","Pharmaceuticals (Basel)","2024","2024/03/28","PMC10974647","","10.3390/ph17030382"
"25401419","Disruption of cortical connectivity during remifentanil administration is associated with cognitive impairment but not with analgesia","Khodayari-Rostamabad A, Olesen SS, Graversen C, Malver LP, Kurita GP, Sjøgren P, Christrup LL, Drewes AM.","Anesthesiology. 2015 Jan;122(1):140-9. doi: 10.1097/ALN.0000000000000510.","Khodayari-Rostamabad A","Anesthesiology","2015","2014/11/18","","","10.1097/ALN.0000000000000510"
"38719814","Forecasting vaping health risks through neural network model prediction of flavour pyrolysis reactions","Kishimoto A, Wu D, O'Shea DF.","Sci Rep. 2024 May 8;14(1):9591. doi: 10.1038/s41598-024-59619-x.","Kishimoto A","Sci Rep","2024","2024/05/08","PMC11079048","","10.1038/s41598-024-59619-x"
"34353244","HemoNet: Predicting hemolytic activity of peptides with integrated feature learning","Yaseen A, Gull S, Akhtar N, Amin I, Minhas F.","J Bioinform Comput Biol. 2021 Oct;19(5):2150021. doi: 10.1142/S0219720021500219. Epub 2021 Aug 5.","Yaseen A","J Bioinform Comput Biol","2021","2021/08/06","","","10.1142/S0219720021500219"
"30090546","In silico prediction of pesticide aquatic toxicity with chemical category approaches","Li F, Fan D, Wang H, Yang H, Li W, Tang Y, Liu G.","Toxicol Res (Camb). 2017 Jul 31;6(6):831-842. doi: 10.1039/c7tx00144d. eCollection 2017 Nov 1.","Li F","Toxicol Res (Camb)","2017","2018/08/10","PMC6062408","","10.1039/c7tx00144d"
"38619593","Harnessing machine learning to predict cytochrome P450 inhibition through molecular properties","Zahid H, Tayara H, Chong KT.","Arch Toxicol. 2024 Aug;98(8):2647-2658. doi: 10.1007/s00204-024-03756-9. Epub 2024 Apr 15.","Zahid H","Arch Toxicol","2024","2024/04/15","","","10.1007/s00204-024-03756-9"
"33058460","A natural language processing approach based on embedding deep learning from heterogeneous compounds for quantitative structure-activity relationship modeling","Bouhedjar K, Boukelia A, Khorief Nacereddine A, Boucheham A, Belaidi A, Djerourou A.","Chem Biol Drug Des. 2020 Sep;96(3):961-972. doi: 10.1111/cbdd.13742.","Bouhedjar K","Chem Biol Drug Des","2020","2020/10/15","","","10.1111/cbdd.13742"
"31803423","A Bayesian graph convolutional network for reliable prediction of molecular properties with uncertainty quantification","Ryu S, Kwon Y, Kim WY.","Chem Sci. 2019 Jul 22;10(36):8438-8446. doi: 10.1039/c9sc01992h. eCollection 2019 Sep 28.","Ryu S","Chem Sci","2019","2019/12/06","PMC6839511","","10.1039/c9sc01992h"
"38270541","Multi_CycGT: A Deep Learning-Based Multimodal Model for Predicting the Membrane Permeability of Cyclic Peptides","Cao L, Xu Z, Shang T, Zhang C, Wu X, Wu Y, Zhai S, Zhan Z, Duan H.","J Med Chem. 2024 Feb 8;67(3):1888-1899. doi: 10.1021/acs.jmedchem.3c01611. Epub 2024 Jan 25.","Cao L","J Med Chem","2024","2024/01/25","","","10.1021/acs.jmedchem.3c01611"
"38876015","Advancing ecotoxicity assessment: Leveraging pre-trained model for bee toxicity and compound degradability prediction","Li X, Zhang F, Zheng L, Guo J.","J Hazard Mater. 2024 Aug 15;475:134828. doi: 10.1016/j.jhazmat.2024.134828. Epub 2024 Jun 8.","Li X","J Hazard Mater","2024","2024/06/14","","","10.1016/j.jhazmat.2024.134828"
"38931898","Predicting ADMET Properties from Molecule SMILE: A Bottom-Up Approach Using Attention-Based Graph Neural Networks","De Carlo A, Ronchi D, Piastra M, Tosca EM, Magni P.","Pharmaceutics. 2024 Jun 7;16(6):776. doi: 10.3390/pharmaceutics16060776.","De Carlo A","Pharmaceutics","2024","2024/06/27","PMC11207804","","10.3390/pharmaceutics16060776"
"34785714","Lipopolysaccharide-induced neuroinflammation disrupts functional connectivity and community structure in primary cortical microtissues","Atherton E, Brown S, Papiez E, Restrepo MI, Borton DA.","Sci Rep. 2021 Nov 16;11(1):22303. doi: 10.1038/s41598-021-01616-5.","Atherton E","Sci Rep","2021","2021/11/17","PMC8595892","","10.1038/s41598-021-01616-5"
"38432954","Developing a GNN-based AI model to predict mitochondrial toxicity using the bagging method","Igarashi Y, Kojima R, Matsumoto S, Iwata H, Okuno Y, Yamada H.","J Toxicol Sci. 2024;49(3):117-126. doi: 10.2131/jts.49.117.","Igarashi Y","J Toxicol Sci","2024","2024/03/03","","","10.2131/jts.49.117"
"38647076","admetSAR3.0: a comprehensive platform for exploration, prediction and optimization of chemical ADMET properties","Gu Y, Yu Z, Wang Y, Chen L, Lou C, Yang C, Li W, Liu G, Tang Y.","Nucleic Acids Res. 2024 Jul 5;52(W1):W432-W438. doi: 10.1093/nar/gkae298.","Gu Y","Nucleic Acids Res","2024","2024/04/22","PMC11223829","","10.1093/nar/gkae298"
"38276722","Artificial Intelligence and Machine Learning Methods to Evaluate Cardiotoxicity following the Adverse Outcome Pathway Frameworks","Viganò EL, Ballabio D, Roncaglioni A.","Toxics. 2024 Jan 19;12(1):87. doi: 10.3390/toxics12010087.","Viganò EL","Toxics","2024","2024/01/26","PMC10820364","","10.3390/toxics12010087"
"28729114","Altered intrinsic functional connectivity in the latent period of epileptogenesis in a temporal lobe epilepsy model","Lee H, Jung S, Lee P, Jeong Y.","Exp Neurol. 2017 Oct;296:89-98. doi: 10.1016/j.expneurol.2017.07.007. Epub 2017 Jul 17.","Lee H","Exp Neurol","2017","2017/07/22","","","10.1016/j.expneurol.2017.07.007"
"39080535","SAFER: sub-hypergraph attention-based neural network for predicting effective responses to dose combinations","Tang YC, Li R, Tang J, Zheng WJ, Jiang X.","BMC Bioinformatics. 2024 Jul 30;25(1):250. doi: 10.1186/s12859-024-05873-9.","Tang YC","BMC Bioinformatics","2024","2024/07/30","PMC11290087","","10.1186/s12859-024-05873-9"
"38746131","SAFER: sub-hypergraph attention-based neural network for predicting effective responses to dose combinations","Tang YC, Li R, Tang J, Zheng WJ, Jiang X.","Res Sq [Preprint]. 2024 Apr 30:rs.3.rs-4308618. doi: 10.21203/rs.3.rs-4308618/v1.","Tang YC","Res Sq","2024","2024/05/15","PMC11092851","","10.21203/rs.3.rs-4308618/v1"
"28696688","Convolutional Embedding of Attributed Molecular Graphs for Physical Property Prediction","Coley CW, Barzilay R, Green WH, Jaakkola TS, Jensen KF.","J Chem Inf Model. 2017 Aug 28;57(8):1757-1772. doi: 10.1021/acs.jcim.6b00601. Epub 2017 Jul 25.","Coley CW","J Chem Inf Model","2017","2017/07/12","","","10.1021/acs.jcim.6b00601"
"38723396","Identification of novel hit molecules targeting M. tuberculosis polyketide synthase 13 by combining generative AI and physics-based methods","Chikhale RV, Choudhary R, Malhotra J, Eldesoky GE, Mangal P, Patil PC.","Comput Biol Med. 2024 Jun;176:108573. doi: 10.1016/j.compbiomed.2024.108573. Epub 2024 May 8.","Chikhale RV","Comput Biol Med","2024","2024/05/09","","","10.1016/j.compbiomed.2024.108573"
"38123109","SGAE-MDA: Exploring the MiRNA-disease associations in herbal medicines based on semi-supervised graph autoencoder","Xu L, Fu X, Zhuo L, Zhou Z, Liao X, Tian S, Kang R, Chen Y.","Methods. 2024 Jan;221:73-81. doi: 10.1016/j.ymeth.2023.12.002. Epub 2023 Dec 18.","Xu L","Methods","2024","2023/12/20","","","10.1016/j.ymeth.2023.12.002"
"38703847","Optimizing removal of antiretroviral drugs from tertiary wastewater using chlorination and AI-based prediction with response surface methodology","Kang Z, Duan L, Zahmatkesh S.","Sci Total Environ. 2024 Jul 15;934:172931. doi: 10.1016/j.scitotenv.2024.172931. Epub 2024 May 3.","Kang Z","Sci Total Environ","2024","2024/05/04","","","10.1016/j.scitotenv.2024.172931"
"38291630","Screening of the Antagonistic Activity of Potential Bisphenol A Alternatives toward the Androgen Receptor Using Machine Learning and Molecular Dynamics Simulation","Yang Z, Wang L, Yang Y, Pang X, Sun Y, Liang Y, Cao H.","Environ Sci Technol. 2024 Feb 13;58(6):2817-2829. doi: 10.1021/acs.est.3c09779. Epub 2024 Jan 30.","Yang Z","Environ Sci Technol","2024","2024/01/31","","","10.1021/acs.est.3c09779"
"38791474","Integrating Computational and Experimental Methods to Identify Novel Sweet Peptides from Egg and Soy Proteins","Su J, Liu K, Cui H, Shen T, Fu X, Han W.","Int J Mol Sci. 2024 May 16;25(10):5430. doi: 10.3390/ijms25105430.","Su J","Int J Mol Sci","2024","2024/05/25","PMC11121995","","10.3390/ijms25105430"
"28414908","Experimental-Computational Study of Carbon Nanotube Effects on Mitochondrial Respiration: In Silico Nano-QSPR Machine Learning Models Based on New Raman Spectra Transform with Markov-Shannon Entropy Invariants","González-Durruthy M, Alberici LC, Curti C, Naal Z, Atique-Sawazaki DT, Vázquez-Naya JM, González-Díaz H, Munteanu CR.","J Chem Inf Model. 2017 May 22;57(5):1029-1044. doi: 10.1021/acs.jcim.6b00458. Epub 2017 Apr 25.","González-Durruthy M","J Chem Inf Model","2017","2017/04/18","","","10.1021/acs.jcim.6b00458"
"37849315","Efficient exploration of transition-metal decorated MXene for carbon monoxide sensing using integrated active learning and density functional theory","Boonpalit K, Kinchagawat J, Prommin C, Nutanong S, Namuangruk S.","Phys Chem Chem Phys. 2023 Nov 1;25(42):28657-28668. doi: 10.1039/d3cp03667g.","Boonpalit K","Phys Chem Chem Phys","2023","2023/10/18","","","10.1039/d3cp03667g"
"25808701","Experimentally induced thyrotoxicosis leads to increased connectivity in temporal lobe structures: a resting state fMRI study","Göttlich M, Heldmann M, Göbel A, Dirk AL, Brabant G, Münte TF.","Psychoneuroendocrinology. 2015 Jun;56:100-9. doi: 10.1016/j.psyneuen.2015.03.009. Epub 2015 Mar 12.","Göttlich M","Psychoneuroendocrinology","2015","2015/03/27","","","10.1016/j.psyneuen.2015.03.009"
